candidate_definition_id	article_id	source_code	article_number	etat	date_debut	date_fin	sampling_stratum	noise_risk	matched_definition_patterns	matched_pattern_categories	candidate_score	pattern	definition_type	extraction_confidence	item_number	defined_subject	term_candidate	definition_candidate	scope_text	scope_label	inferred_scope	raw_body	manual_label	gold_term	gold_definition	gold_scope_text	gold_scope_label	gold_inferred_scope	gold_definition_type	correction_notes	source_file
DRAFT_CODE_DE_L_ORGANISATION_JUDICIAIRE_R553_12_ARTI000049916315_3000	LEGIARTI000049916315	Code de l'organisation judiciaire	R553-12	VIGUEUR	2024-12-01	2999-01-01	low	low	s'entend de	strong	3	s'entend de	explicit	high			probité	l'exigence générale d'honnêteté		unspecified	article	La probité, qui s'entend de l'exigence générale d'honnêteté									legi/global/code_et_TNC_en_vigueur/code_en_vigueur/LEGI/TEXT/00/00/06/07/11/LEGITEXT000006071164/article/LEGI/ARTI/00/00/49/91/63/LEGIARTI000049916315.xml
DRAFT_CODE_DES_IMPOSITIONS_SUR_LES_BIENS_ET_SERVICES_L120_5_ARTI000044604191_3000	LEGIARTI000044604191	Code des impositions sur les biens et services	L120-5	VIGUEUR	2022-01-01	2999-01-01	low	low	s'entend de	strong	3	s'entend de	explicit	high			L'exemption	l'absence de fait générateur, notamment du fait de l'exclusion du champ d'application d'une imposition de certains biens, prestations de services, activités ou personnes		unspecified	article	L'exemption s'entend de l'absence de fait générateur, notamment du fait de l'exclusion du champ d'application d'une imposition de certains biens, prestations de services, activités ou personnes									legi/global/code_et_TNC_en_vigueur/code_en_vigueur/LEGI/TEXT/00/00/44/59/59/LEGITEXT000044595989/article/LEGI/ARTI/00/00/44/60/41/LEGIARTI000044604191.xml
DRAFT_CODE_DE_COMMERCE_A821_98_ARTI000048874825_1000	LEGIARTI000048874825	Code de commerce	A821-98	VIGUEUR	2024-01-01	2999-01-01	low	low	on entend par | au sens de | désigne | constitue	high_noise | medium | strong	7	terme_colon_definition	explicit	high			Bénéficiaire effectif	Le bénéficiaire effectif désigne la ou les personnes physiques, soit qui contrôlent en dernier lieu, directement ou indirectement, le client ou le client occasionnel, soit pour laquelle une opération est exécutée ou une activité exercée. Les articles R. 561-1 à R. 561-3-0 du code monétaire et financier définissent ce qu'on entend par bénéficiaire effectif lorsque le client ou le client occasionnel est une société, un placement collectif, une personne morale autre qu'une société ou un placement col		unspecified	article	Bénéficiaire effectif : Le bénéficiaire effectif désigne la ou les personnes physiques, soit qui contrôlent en dernier lieu, directement ou indirectement, le client ou le client occasionnel, soit pour laquelle une opération est exécutée ou une activité exercée. Les articles R. 561-1 à R. 561-3-0 du code monétaire et financier définissent ce qu'on entend par bénéficiaire effectif lorsque le client ou le client occasionnel est une société, un placement collectif, une personne morale autre qu'une société ou un placement col									legi/global/code_et_TNC_en_vigueur/code_en_vigueur/LEGI/TEXT/00/00/05/63/43/LEGITEXT000005634379/article/LEGI/ARTI/00/00/48/87/48/LEGIARTI000048874825.xml
DRAFT_CODE_DE_COMMERCE_A821_98_ARTI000048874825_1001	LEGIARTI000048874825	Code de commerce	A821-98	VIGUEUR	2024-01-01	2999-01-01	low	low	on entend par | au sens de | désigne | constitue	high_noise | medium | strong	7	terme_colon_definition	explicit	high			Client	Le client désigne la personne ou l'entité avec laquelle un commissaire aux comptes noue une relation d'affaires au sens du paragraphe 10 de la présente norme. 7. Client occasionnel : Le client occasionnel désigne la personne ou l'entité à laquelle un commissaire aux comptes fournit une prestation visée au paragraphe 11 de la présente norme sans qu'une relation d'affaires soit nouée. 8. Mission : Conformément au III de l'article L. 821-2 du code de commerce, le terme mission recouvre : -la mission		unspecified	article	Client : Le client désigne la personne ou l'entité avec laquelle un commissaire aux comptes noue une relation d'affaires au sens du paragraphe 10 de la présente norme. 7. Client occasionnel : Le client occasionnel désigne la personne ou l'entité à laquelle un commissaire aux comptes fournit une prestation visée au paragraphe 11 de la présente norme sans qu'une relation d'affaires soit nouée. 8. Mission : Conformément au III de l'article L. 821-2 du code de commerce, le terme mission recouvre : -la mission									legi/global/code_et_TNC_en_vigueur/code_en_vigueur/LEGI/TEXT/00/00/05/63/43/LEGITEXT000005634379/article/LEGI/ARTI/00/00/48/87/48/LEGIARTI000048874825.xml
DRAFT_CODE_DE_COMMERCE_A821_98_ARTI000048874825_1002	LEGIARTI000048874825	Code de commerce	A821-98	VIGUEUR	2024-01-01	2999-01-01	low	low	on entend par | au sens de | désigne | constitue	high_noise | medium | strong	7	terme_colon_definition	explicit	high			Personne exposée	Une personne exposée désigne une personne physique qui est exposée à des risques particuliers en raison des fonctions politiques, juridictionnelles ou administratives : -qu'elle exerce ou a cessé d'exercer depuis moins d'un an		unspecified	article	Personne exposée : Une personne exposée désigne une personne physique qui est exposée à des risques particuliers en raison des fonctions politiques, juridictionnelles ou administratives : -qu'elle exerce ou a cessé d'exercer depuis moins d'un an									legi/global/code_et_TNC_en_vigueur/code_en_vigueur/LEGI/TEXT/00/00/05/63/43/LEGITEXT000005634379/article/LEGI/ARTI/00/00/48/87/48/LEGIARTI000048874825.xml
DRAFT_CODE_DE_COMMERCE_A821_98_ARTI000048874825_1003	LEGIARTI000048874825	Code de commerce	A821-98	VIGUEUR	2024-01-01	2999-01-01	low	low	on entend par | au sens de | désigne | constitue	high_noise | medium | strong	7	terme_colon_definition	explicit	high			Relation d'affaires	Une relation d'affaires est une relation professionnelle nouée avec un client pour réaliser : -des missions visées au paragraphe 8 de la présente norme		unspecified	article	Relation d'affaires : Une relation d'affaires est une relation professionnelle nouée avec un client pour réaliser : -des missions visées au paragraphe 8 de la présente norme									legi/global/code_et_TNC_en_vigueur/code_en_vigueur/LEGI/TEXT/00/00/05/63/43/LEGITEXT000005634379/article/LEGI/ARTI/00/00/48/87/48/LEGIARTI000048874825.xml
DRAFT_CODE_DE_LA_VOIRIE_ROUTI_RE_L119_14_ARTI000047893206_3000	LEGIARTI000047893206	Code de la voirie routière	L119-14	VIGUEUR	2024-01-01	2999-01-01	low	low	pour l'application du présent | s'entend de	strong	6	s'entend de	explicit	high			la taxe	la taxe sur l'utilisation par les poids lourds de certaines voies du domaine public routier des départements ou du domaine public routier national mis à disposition des régions mentionnée à l'article L		unspecified	article	la taxe s'entend de la taxe sur l'utilisation par les poids lourds de certaines voies du domaine public routier des départements ou du domaine public routier national mis à disposition des régions mentionnée à l'article L									legi/global/code_et_TNC_en_vigueur/code_en_vigueur/LEGI/TEXT/00/00/06/07/06/LEGITEXT000006070667/article/LEGI/ARTI/00/00/47/89/32/LEGIARTI000047893206.xml
DRAFT_CODE_G_N_RAL_DES_IMP_TS_ANNEXE_I_57_ARTI000051821205_3000	LEGIARTI000051821205	Code général des impôts, annexe I	57	VIGUEUR	2025-07-01	2999-01-01	low	low	s'entend de | au sens de	medium | strong	5	s'entend de	explicit	high			La campagne de distillation	la période allant du 1er septembre au 31 août de l'année suivante ou, sur demande des exploitants de distilleries, de la période correspondant à l'exercice social		unspecified	article	La campagne de distillation s'entend de la période allant du 1er septembre au 31 août de l'année suivante ou, sur demande des exploitants de distilleries, de la période correspondant à l'exercice social									legi/global/code_et_TNC_en_vigueur/code_en_vigueur/LEGI/TEXT/00/00/06/06/95/LEGITEXT000006069568/article/LEGI/ARTI/00/00/51/82/12/LEGIARTI000051821205.xml
DRAFT_CODE_G_N_RAL_DE_LA_PROPRI_T_DES_PERSONNES_PUBLIQUES_R3211_15_ARTI000038929095_1000	LEGIARTI000038929095	Code général de la propriété des personnes publiques	R3211-15	VIGUEUR	2019-09-01	2999-01-01	low	low	terme_colon_definition	strong	3	terme_colon_definition	explicit	high	1°		Catégorie 1	les logements locatifs financés en prêt locatif aidé d'intégration, les structures d'hébergement temporaire ou d'urgence bénéficiant d'une aide de l'Etat, les aires permanentes d'accueil des gens du voyage mentionnées au premier alinéa du II de l'article 1er de la loi n° 2000-614 du 5 juillet 2000 relative à l'accueil et à l'habitat des gens du voyage, les logements-foyers dénommés résidences sociales, conventionnés dans les conditions définies au 5° de l'article L. 831-1 du code de la construction		unspecified	article	1° Catégorie 1 : les logements locatifs financés en prêt locatif aidé d'intégration, les structures d'hébergement temporaire ou d'urgence bénéficiant d'une aide de l'Etat, les aires permanentes d'accueil des gens du voyage mentionnées au premier alinéa du II de l'article 1er de la loi n° 2000-614 du 5 juillet 2000 relative à l'accueil et à l'habitat des gens du voyage, les logements-foyers dénommés résidences sociales, conventionnés dans les conditions définies au 5° de l'article L. 831-1 du code de la construction									legi/global/code_et_TNC_en_vigueur/code_en_vigueur/LEGI/TEXT/00/00/06/07/02/LEGITEXT000006070299/article/LEGI/ARTI/00/00/38/92/90/LEGIARTI000038929095.xml
DRAFT_CODE_G_N_RAL_DE_LA_PROPRI_T_DES_PERSONNES_PUBLIQUES_R3211_15_ARTI000038929095_1001	LEGIARTI000038929095	Code général de la propriété des personnes publiques	R3211-15	VIGUEUR	2019-09-01	2999-01-01	low	low	terme_colon_definition	strong	3	terme_colon_definition	explicit	high	2°		Catégorie 2	les logements locatifs ou les résidences de logement pour étudiants financés en prêt locatif à usage social		unspecified	article	2° Catégorie 2 : les logements locatifs ou les résidences de logement pour étudiants financés en prêt locatif à usage social									legi/global/code_et_TNC_en_vigueur/code_en_vigueur/LEGI/TEXT/00/00/06/07/02/LEGITEXT000006070299/article/LEGI/ARTI/00/00/38/92/90/LEGIARTI000038929095.xml
