audit_id,example_id,source_code,article_number,article_id,article_key,origin,input_text,audit_label,audit_notes
WEAKNEG_0001,article_neg_00061,Code de commerce,R711-70,LEGIARTI000039471845,article_id::legiarti000039471845,low_clean_candidate_not_in_gold,"I-Les services de CCI France, des chambres de commerce et d'industrie de région et des chambres de commerce et d'industrie territoriales sont dirigés par un directeur général, placé sous l'autorité du président de la chambre. Les services des chambres de commerce et d'industrie départementales d'Ile-de-France ou des chambres de commerce et d'industrie locales sont dirigés par un directeur général délégué, placé sous l'autorité du directeur général de la chambre de commerce et d'industrie de région, en liaison fonctionnelle avec le président de la chambre de commerce et d'industrie départementale ou locale concernée. Le directeur général ou le directeur général délégué assure, notamment, le secrétariat général de l'assemblée générale, du bureau, des commissions et, en ce qui concerne CCI France, du comité directeur. Dans le cadre des orientations définies par la chambre, et dans le respect de son règlement intérieur, le directeur général ou le directeur général délégué est chargé de l'animation de l'ensemble des services ainsi que du suivi de leurs activités, de la réalisation de leurs objectifs et du contrôle de leurs résultats dont il rend compte au président. Le directeur général ou le directeur général délégué assiste les membres élus dans l'exercice de leurs fonctions. A ce titre, il informe les élus des conditions de régularité dans lesquelles les décisions doivent être prises. Il a la charge de leur mise en œuvre et contrôle la régularité de toutes les opérations correspondantes. Le directeur général ou le directeur général délégué est astreint au devoir de réserve et, dans l'exercice de ses fonctions, au respect du principe de neutralité. Les directeurs généraux de chambre de commerce et d'industrie de région et de CCI France sont chargés de veiller à la sécurité et à la protection de la santé du personnel placé sous leur autorité. Ils s'assurent du respect des règles d'hygiène et de sécurité. Les directeurs généraux de chambre de commerce et d'industrie de région peuvent déléguer aux directeurs généraux de chambre de commerce et d'industrie territoriales ou aux directeurs généraux délégués, leurs pouvoirs en matière d'hygiène et de sécurité. Les délégataires peuvent eux-mêmes subdéléguer ces pouvoirs à des personnes disposant de la compétence, de l'autorité et des moyens nécessaires à l'exercice des responsabilités concernées. La subdélégation s'effectue à un niveau de responsabilité permettant une autonomie décisionnelle suffisante en matière d'hygiène et de sécurité. En cas de vacance du poste de directeur général, et dans l'attente du remplacement effectif, le président de la chambre de commerce et d'industrie de région peut nommer par intérim un collaborateur de sa chambre pour assurer ces fonctions. La durée totale de cet intérim, renouvellement éventuel compris, ne peut pas excéder un an. Dans ce cas, l'avis du président de CCI France n'est pas requis et le directeur général par intérim ne bénéficie pas, le cas échéant, des dispositions particulières prévues en application du 6° de l'article L. 711-16. Un directeur général peut, si les circonstances le justifient, exercer ses fonctions à la fois dans une chambre de commerce et d'industrie de région et une chambre de commerce et d'industrie territoriale ou dans plusieurs chambres de commerce et d'industrie territoriales rattachées à une même chambre de commerce et d'industrie de région. II-La nomination ou la rupture, à l'initiative de l'employeur, de la relation de travail d'un directeur général interviennent : 1° Pour CCI France, sur décision du président, après consultation du bureau ; 2° Pour une chambre de commerce et d'industrie de région, sur décision du président, après consultation du bureau et avis du président de CCI France ; 3° Pour une chambre de commerce et d'industrie territoriale : a) S'agissant de la nomination, sur décision de son président, après consultation du bureau, sur avis conforme du président de la chambre de commerce et d'industrie de région, et avis du président de CCI France ; b) S'agissant de la rupture de la relation de travail, sur proposition motivée de son président, après consultation du bureau, sur avis du président de CCI France, par décision du président de la chambre de commerce et d'industrie de région. III.-Le président de la chambre de commerce et d'industrie de région adresse la demande d'avis au président de CCI France, par écrit, accompagnée : 1° S'agissant d'une nomination : des coordonnées et du profil du candidat retenu, ainsi que les éléments essentiels de la relation de travail proposée, notamment en termes de rémunération ; 2° S'agissant d'une rupture de la relation de travail : des motifs la justifiant et des conditions d'indemnisation de l'intéressé. Dans un délai de quinze jours ouvrés à compter de la réception de cette demande, le président de CCI France communique, par écrit, son avis motivé au président de la chambre de région, après, le cas échéant, un entretien avec l'intéressé. Toute demande de précisions interrompt le délai. A compter de l'expiration de ce délai, l'avis est réputé acquis.",,
WEAKNEG_0002,article_neg_00164,"Code général des impôts, annexe II",275 G,LEGIARTI000006294715,article_id::legiarti000006294715,low_clean_candidate_not_in_gold,Est considéré comme tabac à priser le tabac en poudre ou en grains spécialement préparé pour être prisé mais non fumé.,,
WEAKNEG_0003,article_neg_00258,Code général des impôts,223 WC quater,LEGIARTI000048804019,article_id::legiarti000048804019,low_clean_candidate_not_in_gold,"Conformément au A du IV de l'article 33 de la loi n° 2023-1322 du 29 décembre 2023, ces dispositions s'appliquent aux exercices ouverts à compter du 31 décembre 2023. Lorsqu'un impôt complémentaire additionnel est affecté à une entité constitutive en application de la présente sous-section et des articles 223 WB ter et 223 WB quater, cette entité est considérée comme une entité constitutive faiblement imposée pour l'application des sous-sections 2 et 3 de la section V.",,
WEAKNEG_0004,article_neg_00263,Code général des impôts,223 WP,LEGIARTI000048804100,article_id::legiarti000048804100,low_clean_candidate_not_in_gold,"Conformément au A du IV de l'article 33 de la loi n° 2023-1322 du 29 décembre 2023, ces dispositions s'appliquent aux exercices ouverts à compter du 31 décembre 2023. Pour l'application de la présente sous-section, est entendu par : 1° Groupes d'entreprises multinationales ou groupes nationaux à entités mères multiples : les groupes dont les entités mères ultimes ont conclu un accord de jumelage d'actions ou un accord de double cotation et dont au moins une entité ou un établissement stable n'est pas situé dans le même Etat ou territoire que les autres entités ; 2° Accord de jumelage d'actions : un accord conclu par plusieurs entités mères ultimes de groupes distincts qui remplissent les conditions cumulatives suivantes : a) Si les entités mères ultimes des groupes distincts sont cotées en bourse, au moins 50 % des titres émis par ces entités sont émis à un prix unique et ne peuvent être transférés ou négociés indépendamment les uns des autres ; b) L'une des entités mères ultimes établit des états financiers consolidés réunissant les actifs, les passifs, les recettes, les dépenses et les flux de trésorerie de l'ensemble des entités des groupes concernés comme les éléments d'une entité économique unique. Ces états financiers consolidés sont certifiés conformément à la réglementation comptable en vigueur ; 3° Accord de double cotation : un accord conclu par plusieurs entités mères ultimes de groupes distincts qui remplissent les conditions cumulatives suivantes : a) Les entités mères ultimes conviennent contractuellement de regrouper leurs activités ; b) Les entités mères ultimes exercent leurs activités comme si elles constituaient une entité économique unique ; c) Les entités mères ultimes effectuent des distributions de dividendes ou, en cas de liquidation, des répartitions d'actifs sur la base d'un ratio déterminé contractuellement ; d) Les titres émis par les entités mères ultimes parties à l'accord sont cotés, négociés ou transférés de façon indépendante sur différents marchés financiers ; e) Les entités mères ultimes établissent des états financiers consolidés réunissant les actifs, les passifs, les recettes, les dépenses et les flux de trésorerie de l'ensemble des entités des groupes concernés comme les éléments d'une seule et même entité économique. Ces états financiers consolidés sont certifiés conformément à la réglementation comptable en vigueur.",,
WEAKNEG_0005,article_neg_00332,Code général des impôts,205 B,LEGIARTI000044978626,article_id::legiarti000044978626,low_clean_candidate_not_in_gold,"Conformément au A du II de l'article 45 de la loi n° 2019-1479 du 28 décembre 2019, ces dispositions s'appliquent aux exercices ouverts à compter du 1er janvier 2020. I.-Pour l'application du présent article et des articles 205 C et 205 D, est entendu par : 1° Dispositif hybride : une situation dans laquelle : a) Un paiement effectué au titre d'un instrument financier donne lieu à une charge déductible dans l'Etat de résidence du débiteur sans être inclus dans les revenus imposables dans l'Etat de résidence du bénéficiaire, lorsque cet effet d'asymétrie est imputable aux différences de qualification fiscale de l'instrument ou du paiement lui-même ; b) Un paiement en faveur d'une entité hybride donne lieu à une charge déductible dans l'Etat de résidence du débiteur sans être inclus dans les revenus imposables dans l'Etat de résidence de l'entité hybride, lorsque cet effet d'asymétrie est imputable aux différences dans l'attribution des paiements versés à l'entité hybride en application des règles de l'Etat de résidence de l'entité hybride et des règles de l'Etat de résidence de toute personne détentrice d'une participation dans cette entité hybride ; c) Un paiement en faveur d'une entité disposant d'un ou de plusieurs établissements donne lieu à une charge déductible dans l'Etat de résidence du débiteur sans être inclus dans les revenus imposables de cette entité, lorsque cet effet d'asymétrie est imputable aux différences dans l'attribution des paiements entre le siège et l'établissement ou entre deux ou plusieurs établissements de la même entité en application des règles des Etats dans lesquels l'entité exerce ses activités ; d) Un paiement en faveur d'un établissement donne lieu à une charge déductible dans l'Etat de résidence du débiteur sans être inclus dans les revenus imposables de cet établissement dans un autre Etat du fait de la non prise en compte de cet établissement par cet autre Etat ; e) Un paiement effectué par une entité hybride donne lieu à une charge déductible dans son Etat de résidence sans être inclus dans les revenus imposables du bénéficiaire, lorsque cet effet d'asymétrie est imputable à la non prise en compte du paiement par l'Etat de résidence du bénéficiaire ; f) Un paiement réputé effectué entre un établissement et son siège ou entre deux ou plusieurs établissements donne lieu à une charge déductible dans l'Etat où est situé cet établissement sans être inclus dans les revenus imposables du bénéficiaire, lorsque cet effet d'asymétrie est imputable à la non prise en compte du paiement par l'Etat de résidence du bénéficiaire ; g) Ou une double déduction se produit ; 2° Paiement : tout droit à un transfert de valeur associé à un montant susceptible d'être payé ; 3° Personne : une personne physique ou une entité ; 4° Résidence : lieu où une personne est considérée comme ayant son siège ou son domicile fiscal ; 5° Débiteur : une personne qui est tenue d'effectuer un paiement au sens du 2° ; 6° Investisseur : toute personne autre que le débiteur qui bénéficie d'une déduction afférente à un dispositif hybride mentionné au g du 1° ; 7° Établissement : une entreprise exploitée en France au sens du I de l'article 209 ou un établissement au sens de la législation applicable dans l'Etat dans lequel il est situé ou dans celui du siège de l'entité dont il dépend ou un établissement stable au sens des conventions internationales relatives aux doubles impositions ; 8° Inclusion : la prise en compte d'un paiement dans le revenu imposable du bénéficiaire en application des règles de son Etat de résidence. Toutefois, pour l'application du a du 1° du présent I, un paiement est considéré comme inclus dans les revenus imposables du bénéficiaire : a) S'il n'a pas ouvert droit en application des règles de l'Etat de résidence de ce bénéficiaire à une exonération, une réduction du taux d'imposition ou un crédit ou remboursement d'impôt, autre qu'un crédit d'impôt au titre d'une retenue à la source, en raison de la nature de ce paiement ; b) Et si cette inclusion a lieu au titre d'un exercice qui commence dans les vingt-quatre mois suivant la fin de l'exercice au titre duquel la charge a été déduite ; 9° Double déduction : une déduction du même paiement, des mêmes dépenses ou des mêmes pertes dans l'Etat de résidence du débiteur et dans un autre Etat. Dans le cas d'un paiement par une entité hybride ou un établissement, l'Etat de résidence du débiteur est celui dans lequel l'entité hybride ou l'établissement est établi ou situé ; 10° Effet d'asymétrie : une déduction d'un paiement sans inclusion correspondante dans les revenus du bénéficiaire de ce paiement ou une double déduction ; 11° Entité hybride : toute entité ou tout dispositif qui est considéré comme une entité imposable par un Etat et dont les revenus ou les dépenses sont considérés comme les revenus ou les dépenses d'une ou de plusieurs autres personnes par un autre Etat ; 12° Instrument financier au sens du a du 1° : un instrument qui génère un rendement financier soumis, soit dans l'Etat de résidence du débiteur, soit dans l'Etat de résidence du bénéficiaire, aux règles fiscales applicables aux titres de dette, titres de participation ou instruments dérivés, y compris tout transfert hybride ; 13° Transfert hybride : un dispositif permettant de transférer un instrument financier lorsque le rendement sous-jacent de l'instrument financier transféré est considéré sur le plan fiscal comme obtenu simultanément par plusieurs des parties à ce dispositif ; 14° Dispositif structuré : un dispositif utilisant un dispositif hybride au sens du 1° et dont les termes intègrent la valorisation de l'effet d'asymétrie ou un dispositif qui a été conçu en vue de générer les mêmes conséquences qu'un dispositif hybride, lorsque le contribuable ne peut pas démontrer que lui-même ou une entreprise associée n'avaient pas connaissance du dispositif hybride et qu'ils n'ont pas bénéficié de l'avantage fiscal en découlant ; 15° Dispositif hybride inversé : un dispositif dans lequel une ou plusieurs entreprises associées détenant ensemble un intérêt direct ou indirect dans au moins 50 % du capital, des droits de vote ou des droits aux bénéfices d'une entité hybride constituée ou établie dans un Etat membre de l'Union européenne, sont établies dans un ou plusieurs Etats qui considèrent cette entité comme une personne imposable ; 16° Entreprise associée d'un contribuable : a) Une entité dans laquelle le contribuable détient directement ou indirectement une participation d'au moins 50 % des droits de vote ou du capital ou dont il est en droit de recevoir au moins 50 % des bénéfices ; b) Une personne qui détient directement ou indirectement une participation d'au moins 50 % des droits de vote ou du capital du contribuable, ou qui est en droit de recevoir au moins 50 % des bénéfices du contribuable ; c) Une entité dans laquelle une personne, qui détient directement ou indirectement une participation d'au moins 50 % des droits de vote ou du capital du contribuable, détient également une participation d'au moins 50 % des droits de vote ou du capital ; d) Ou une entité qui fait partie du même groupe consolidé que le contribuable au sens du 2° du VI de l'article 212 bis, une entreprise sur la gestion de laquelle le contribuable exerce une influence notable ou une entreprise qui exerce une influence notable sur la gestion du contribuable. Pour l'application des a, b et c du présent 16°, une personne qui agit conjointement avec une autre personne au titre des droits de vote ou de la propriété du capital d'une entité est considérée comme détenant une participation dans l'ensemble des droits de vote ou du capital de cette entité qui sont détenus par l'autre personne. Pour les dispositifs hybrides mentionnés aux a ou f du 1°, le seuil de 50 % mentionné aux a, b et c du présent 16° est remplacé par le seuil de 25 %. II.-1. N'est pas considéré comme un dispositif hybride au sens du a du 1° du I le transfert hybride réalisé par une personne dont l'activité professionnelle consiste à acheter ou à vendre régulièrement des instruments financiers pour son propre compte afin de réaliser des bénéfices, lorsque ce transfert est effectué dans le cadre de ses activités habituelles, hors le cas d'un dispositif structuré, et que les revenus perçus au titre de ce transfert sont inclus dans ses revenus imposables. 2. Ne sont pas considérées comme des dispositifs hybrides les situations mentionnées au 1° du I lorsque l'effet d'asymétrie ne survient pas, hors le cas d'un dispositif structuré, entre un contribuable et une entreprise associée, entre entreprises associées d'un même contribuable, entre le siège et un établissement ou entre deux ou plusieurs établissements de la même entité. III.-1. Lorsqu'un paiement effectué dans le cadre d'un dispositif hybride mentionné aux a à f du 1° du I donne lieu à : a) Une charge déductible de l'assiette de l'impôt sur les sociétés dans les conditions de droit commun, sans être inclus dans les résultats soumis à un impôt équivalent à l'impôt sur les sociétés dans l'Etat de résidence du bénéficiaire, cette charge n'est pas admise en déduction ; Pour l'application du premier alinéa du présent a, lorsqu'un paiement, effectué dans le cadre d'un dispositif hybride mentionné au a du 1° du I, n'a pas été inclus dans les résultats imposables du bénéficiaire à l'expiration du délai prévu au b du 8° du même I, la réintégration de la charge dans le résultat soumis à l'impôt sur les sociétés dans les conditions de droit commun est effectuée au titre du dernier exercice ayant commencé au cours des vingt-quatre mois suivant la fin de l'exercice au titre duquel cette charge a été initialement déduite ; b) Une charge déduite du résultat soumis à un impôt équivalent à l'impôt sur les sociétés dans l'Etat de résidence du débiteur, ce paiement est ajouté au résultat soumis à l'impôt sur les sociétés dans les conditions de droit commun. 2. En présence d'un dispositif hybride mentionné au g du 1° du I : a) La charge n'est pas admise en déduction des revenus de l'investisseur établi en France ; b) Lorsque l'investisseur est établi dans un autre Etat qui admet la déduction de la charge, celle-ci n'est pas admise en déduction des revenus du débiteur établi en France. Ces dispositions ne sont pas applicables lorsque la double déduction concerne un revenu soumis à double inclusion au titre du même exercice ou au titre d'un exercice qui commence dans les vingt-quatre mois suivant la fin de l'exercice au titre duquel la charge a été initialement déduite. Pour l'application des a et b du présent 2, la réintégration de la charge dans le résultat soumis à l'impôt sur les sociétés dans les conditions de droit commun est effectuée au titre du dernier exercice ayant commencé au cours des vingt-quatre mois suivant la fin de l'exercice au titre duquel cette charge a été initialement déduite. 3. Lorsqu'un paiement déductible du résultat imposable à l'impôt sur les sociétés en France compense un autre paiement afférent à un dispositif hybride, directement ou indirectement, par l'intermédiaire d'une transaction ou d'une série de transactions conclues entre des entreprises associées d'un même contribuable ou par l'intermédiaire d'un dispositif structuré, la déduction de la charge correspondant à ce premier paiement n'est pas admise. Toutefois, la charge reste admise en déduction si l'Etat de résidence d'une des entreprises concernées par la transaction ou la série de transactions a appliqué une disposition permettant de neutraliser les effets du dispositif hybride concerné. Lorsque cette neutralisation n'est que partielle, la déduction de la charge est admise à hauteur de la part du paiement qui a été neutralisée dans l'autre Etat. 4. Les revenus attribués à l'établissement d'une entité non pris en compte par l'Etat dans lequel il est situé du fait d'un dispositif hybride sont inclus dans le résultat soumis à l'impôt sur les sociétés de cette entité lorsqu'elle a son siège en France. Cette règle s'applique à moins que la France ne soit tenue d'exonérer les revenus en vertu d'une convention préventive de la double imposition conclue avec un pays tiers. 5. Lorsqu'un transfert hybride est conçu pour donner lieu à un allègement au titre des retenues à la source pour un paiement provenant d'un instrument financier transféré à plusieurs des parties concernées par ce transfert, le bénéfice de cet allègement est limité au prorata des revenus nets imposables liés à ce paiement.",,
WEAKNEG_0006,article_neg_00053,Code de commerce,L611-2-1,LEGIARTI000039280203,article_id::legiarti000039280203,low_clean_candidate_not_in_gold,"Conformément à l'article 36 de l'ordonnance n° 2019-964 du 18 septembre 2019, ces dispositions entrent en vigueur au 1er janvier 2020. Les dispositions du I de l'article L. 611-2 sont applicables, dans les mêmes conditions, aux personnes morales de droit privé et aux personnes physiques exerçant une activité professionnelle agricole ou indépendante, y compris une profession libérale soumise à un statut législatif ou réglementaire ou dont le titre est protégé. Pour l'application du présent article, le tribunal judiciaire est compétent et son président exerce les mêmes pouvoirs que ceux conférés au président du tribunal de commerce. Par exception, lorsque la personne physique ou morale concernée exerce la profession d'avocat, d'administrateur judiciaire, de mandataire judiciaire ou d'officier public ou ministériel, le président du tribunal judiciaire ne procède qu'à l'information de l'ordre professionnel ou de l'autorité compétente dont elle relève, sur les difficultés portées à sa connaissance relativement à la situation économique, sociale, financière et patrimoniale du professionnel.",,
WEAKNEG_0007,article_neg_00115,Code de commerce,L444-2,LEGIARTI000042779935,article_id::legiarti000042779935,low_clean_candidate_not_in_gold,"Les tarifs mentionnés à l'article L. 444-1 prennent en compte les coûts pertinents du service rendu et une rémunération raisonnable, définie sur la base de critères objectifs. Par dérogation au premier alinéa du présent article, peut être prévue une péréquation des tarifs applicables à l'ensemble des prestations servies. Cette péréquation peut notamment prévoir que les tarifs des prestations relatives à des biens ou des droits d'une valeur supérieure à un seuil fixé par l'arrêté conjoint prévu à l'article L. 444-3 soient fixés proportionnellement à la valeur du bien ou du droit. En application des deux premiers alinéas du présent article, l'arrêté conjoint mentionné au même article L. 444-3 fixe les tarifs sur la base d'un objectif de taux de résultat moyen, dont les modalités de détermination sont définies par un décret en Conseil d'Etat, et dont le montant est estimé globalement pour chaque profession pour l'ensemble des prestations tarifées en application de l'article L. 444-1. Des remises peuvent être consenties lorsqu'un tarif est déterminé proportionnellement à la valeur d'un bien ou d'un droit en application du deuxième alinéa du présent article et lorsque l'assiette de ce tarif est supérieure à un seuil défini par l'arrêté conjoint prévu à l'article L. 444-3. Le taux des remises octroyées par un professionnel est fixe, identique pour tous et compris dans des limites définies par voie réglementaire. Toutefois, pour certaines prestations et au-delà d'un montant d'émolument fixé par l'arrêté mentionné au même article L. 444-3, le professionnel et son client peuvent convenir du taux des remises.",,
WEAKNEG_0008,article_neg_00308,Code général des impôts,39 quindecies,LEGIARTI000036428314,article_id::legiarti000036428314,low_clean_candidate_not_in_gold,"Conformément à l'article 84 V A de la loi n° 2017-1837 du 30 décembre 2017, les dispositions du second alinéa du 2 du I s'appliquent aux exercices ouverts à compter du 1er janvier 2018. I. - 1. Sous réserve des dispositions des articles 41, 151 octies et 210 A à 210 C, le montant net des plus-values à long terme fait l'objet d'une imposition séparée au taux de 12,8 %. Il s'entend de l'excédent de ces plus-values sur les moins-values de même nature constatées au cours du même exercice. Toutefois, ce montant net n'est pas imposable lorsqu'il est utilisé à compenser le déficit d'exploitation de l'exercice. Le déficit ainsi annulé ne peut plus être reporté sur les bénéfices des exercices ultérieurs. Par dérogation aux dispositions qui précèdent, l'imposition de la plus-value nette à long terme réalisée à la suite de la perception d'indemnités d'assurances ou de l'expropriation d'immeubles figurant à l'actif est différée de deux ans. Toutefois, en cas de cessation d'activité, l'imposition de la plus-value dont il s'agit est immédiatement établie. 2. L'excédent éventuel des moins-values à long terme ne peut être imputé que sur les plus-values à long terme réalisées au cours des dix exercices suivants. En cas de liquidation d'entreprise, l'excédent des moins-values à long terme sur les plus-values à long terme peut être déduit du bénéfice de l'exercice de liquidation dans la limite du rapport existant entre le taux d'imposition des plus-values à long terme applicable à l'exercice de réalisation des moins-values et le taux normal prévu au deuxième alinéa du I de l'article 219 applicable à l'exercice de liquidation. II. - Abrogé.",,
WEAKNEG_0009,article_neg_00319,Code général des impôts,881 D,LEGIARTI000037990680,article_id::legiarti000037990680,low_clean_candidate_not_in_gold,"I. – Le tarif de la contribution de sécurité immobilière exigible pour les demandes de renseignements hypothécaires, quelles que soient leurs modalités de traitement, est fixé comme suit : 1° Réquisitions ne comportant pas la désignation des immeubles ou demandes complémentaires afférentes à ce type de réquisitions : 12 € par personne individuellement désignée dans la demande ; 2° Réquisitions formulées sans indication de personne ou demandes complémentaires afférentes à ce type de réquisitions : 12 € par immeuble indiqué. Est considéré comme immeuble chaque îlot de propriété ou parcelle cadastrale ou chaque lot de copropriété pour les biens faisant l'objet d'un état descriptif de division ou d'un document analogue ; 3° Réquisitions comportant à la fois la désignation individuelle des immeubles et des personnes ou demandes complémentaires afférentes à ce type de réquisitions : 12 € pour celles formulées du chef de trois personnes au maximum et portant sur cinq immeubles au maximum. Il est perçu en sus de ce tarif : a) 5 € par personne indiquée au-delà de la troisième ; b) 2 € par immeuble au-delà du cinquième. II. – Pour les réquisitions déposées en vue de la délivrance de renseignements sous forme de copies de fiches visées à l'article 43 du décret n° 55-1350 du 14 octobre 1955 modifié, il est fait application des tarifs définis aux 1° et 2° du I.",,
WEAKNEG_0010,article_neg_00285,Code général des impôts,298 sexdecies J,LEGIARTI000041404742,article_id::legiarti000041404742,low_clean_candidate_not_in_gold,"I.-L'exploitant d'un entrepôt ou d'une plateforme logistique de stockage de biens destinés à faire l'objet d'une livraison au sens du 1° du II de l'article 256 ou d'une opération assimilée mentionnée au III du même article 256 tient à la disposition de l'administration des informations relatives, notamment, à l'origine, la nature, la quantité et la détention des biens stockés ainsi qu'aux propriétaires de ces biens, lorsque les conditions suivantes sont remplies : 1° Les biens stockés sont destinés à faire l'objet d'une vente réalisée par l'entremise d'une plateforme de mise en relation par voie électronique ; 2° Les biens stockés ont fait l'objet d'une importation en France ou dans un autre Etat membre de l'Union européenne en provenance d'un pays tiers ou d'un territoire tiers à l'Union européenne ; 3° Les biens stockés sont la propriété d'un assujetti qui a établi le siège de son activité économique en dehors de l'Union européenne ou qui, à défaut d'un tel siège, a son domicile ou sa résidence habituelle en dehors de l'Union européenne ; 4° Les biens stockés n'ont pas fait l'objet d'une livraison au sens du 1° du II de l'article 256 ou d'une opération assimilée mentionnée au III du même article 256 depuis leur introduction en France. II.-Pour l'application des dispositions du I du présent article, est considérée comme plateforme l'entreprise, quel que soit son lieu d'établissement, qui met en relation à distance, par voie électronique, des personnes en vue de la vente d'un bien, de la fourniture d'un service ou de l'échange ou du partage d'un bien ou d'un service. III.-Les informations tenues à la disposition de l'administration mentionnées au premier alinéa du I sont fixées par arrêté du ministre chargé du budget. Ces informations sont conservées jusqu'au 31 décembre de la sixième année suivant celle durant laquelle a eu lieu l'opération d'importation. IV.-L'exploitant est tenu de faire toute diligence afin de s'assurer de l'identité des propriétaires des biens mentionnés au premier alinéa du I. Il informe par tous moyens ces propriétaires de leurs obligations en matière de taxe sur la valeur ajoutée en France.",,
